Velocity;Power;eor
0.0;0;eor
0.5;0;eor
1.0;0;eor
1.5;0;eor
2.0;0;eor
2.5;0;eor
3.0;26;eor
3.5;73;eor
4.0;133;eor
4.5;207;eor
5.0;302;eor
5.5;416;eor
6.0;554;eor
6.5;717;eor
7.0;907;eor
7.5;1126;eor
8.0;1375;eor
8.5;1652;eor
9.0;1985;eor
9.5;2282;eor
10.0;2585;eor
10.5;2821;eor
11.0;2997;eor
11.5;3050;eor
12.0;3067;eor
12.5;3074;eor
13.0;3075;eor
13.5;3075;eor
14.0;3075;eor
14.5;3075;eor
15.0;3075;eor
15.5;3075;eor
16.0;3075;eor
16.5;3075;eor
17.0;3075;eor
17.5;3075;eor
18.0;3075;eor
18.5;3075;eor
19.0;3075;eor
19.5;3075;eor
20.0;3075;eor
20.5;3075;eor
21.0;3075;eor
21.5;3075;eor
22.0;3075;eor
22.5;3075;eor
23.0;3075;eor
23.5;3075;eor
24.0;3075;eor
24.5;3075;eor
25.0;3075;eor
25.5;0;eor
26.0;0;eor
26.5;0;eor
27.0;0;eor
27.5;0;eor
28.0;0;eor
28.5;0;eor
29.0;0;eor
29.5;0;eor
30.0;0;eor
30.5;0;eor
31.0;0;eor
31.5;0;eor
32.0;0;eor
32.5;0;eor
33.0;0;eor
33.5;0;eor
34.0;0;eor
34.5;0;eor
35.0;0;eor
35.5;0;eor
36.0;0;eor
36.5;0;eor
37.0;0;eor
37.5;0;eor
38.0;0;eor
38.5;0;eor
39.0;0;eor
39.5;0;eor
40.0;0;eor
